name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2021-08-22,19.4,14.6,16.3,19.4,14.6,16.3,14.8,91.3,5.045,100,50,rain,0,0,24.8,16.7,313,1019.5,79.5,27.3,108.6,9.4,6,,2021-08-22T06:00:54,2021-08-22T20:21:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-08-23,21.7,14.8,17.5,21.7,14.8,17.5,13,76.4,0.034,100,8.33,rain,0,0,24.1,12,56.8,1029.1,64.6,39.2,181.3,15.7,6,,2021-08-23T06:02:39,2021-08-23T20:19:21,0.53,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"03346099999,03318099999,F0705,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-24,19.4,13.4,16.2,19.4,13.4,16.2,12.8,80.6,0,0,0,,0,0,16.2,11,85.9,1031.8,87.2,43.2,83.8,7.3,3,,2021-08-24T06:04:23,2021-08-24T20:17:05,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-25,20.5,12,15.7,20.5,12,15.7,12.9,84.6,0,0,0,,0,0,21.2,10.3,27.7,1027.6,72.9,30,123.5,10.6,6,,2021-08-25T06:06:08,2021-08-25T20:14:47,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-26,18.9,12,15.9,18.9,12,15.9,11.2,75.3,0,0,0,,0,0,35.6,15,43,1024.1,71.3,35.3,192.2,16.7,7,,2021-08-26T06:07:52,2021-08-26T20:12:29,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-27,16.7,11.1,14,16.7,11.1,14,9.2,73.4,0,0,0,,0,0,24.5,13.5,31.2,1025.6,90.7,48.9,98.9,8.5,3,,2021-08-27T06:09:37,2021-08-27T20:10:10,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-28,20.8,8,14.4,20.8,7.1,14.2,10.1,77.5,0,0,0,,0,0,17.3,10.8,346.8,1027.9,49.2,31.9,171.8,15.1,7,,2021-08-28T06:11:22,2021-08-28T20:07:50,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-29,17.7,9.3,13.8,17.7,9.2,13.7,9.8,78.6,0.01,100,4.17,rain,0,0,27.7,16.1,52.6,1027.5,77.6,30.8,127.2,11.2,5,,2021-08-29T06:13:06,2021-08-29T20:05:30,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-30,16.9,11.9,14.5,16.9,11.9,14.5,10.2,75.4,0,0,0,,0,0,32.8,13.7,48.9,1028.9,92.8,53.7,69.4,5.9,2,,2021-08-30T06:14:51,2021-08-30T20:03:09,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-31,15.8,11.3,13.8,15.8,11.3,13.8,10.2,79.6,0.131,100,20.83,rain,0,0,31,13.8,40.4,1032.4,91.4,44.8,63.8,5.5,2,,2021-08-31T06:16:35,2021-08-31T20:00:47,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-09-01,17.3,10.6,13.8,17.3,10.6,13.8,10.7,82.3,0.096,100,12.5,rain,0,0,33.5,15.1,32.2,1033.6,85.6,23.5,66,5.9,2,,2021-09-01T06:18:20,2021-09-01T19:58:25,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
